1 1/8	UNC	7	3,6286	1.1250	28,5750	1.0322	0.9704	1 1/8 - 7 UNC
1 1/8	UN 8	8	3,1750	1.1250	28,5750	1.0438	0.9897	1 1/8 - 8 UN 8
1 1/8	UNF	12	2,1167	1.1250	28,5750	1.0709	1.0348	1 1/8 - 12 UNF
1 1/8	UN 16	16	1,5875	1.1250	28,5750	1.0844	1.0573	1 1/8 - 16 UN 16
1 1/8	UNEF	18	1,4111	1.1250	28,5750	1.0889	1.0649	1 1/8 - 18 UNEF
1 1/8	UN 20	20	1,2700	1.1250	28,5750	1.0925	1.0709	1 1/8 - 20 UN 20
1 1/8	UN 28	28	0,9071	1.1250	28,5750	1.1018	1.0863	1 1/8 - 28 UN 28
1 3/16	UN 8	8	3,1750	1.1875	30,1625	1.1063	1.0522	1 3/16 - 8 UN 8
1 3/16	UN 12	12	2,1167	1.1875	30,1625	1.1334	1.0973	1 3/16 - 12 UN 12
1 3/16	UN 16	16	1,5875	1.1875	30,1625	1.1469	1.1198	1 3/16 - 16 UN 16
1 3/16	UNEF	18	1,4111	1,1875	30,1625	1.1514	1.1274	1 3/16 - 18 UNEF
1 3/16	UN 20	20	1,2700	1.1875	30,1625	1.1550	1.1334	1 3/16 - 20 UN 20
1 3/16	UN 28	28	0,9071	1.1875	30,1625	1.1643	1.1488	1 3/16 - 28 UN 28
1 1/4	UNC	7	3,6286	1.2500	31,7500	1.1572	1.0954	1 1/4 - 7 UNC
1 1/4	UN 8	8	3,1750	1.2500	31,7500	1.1688	1.1147	1 1/4 - 8 UN 8
1 1/4	UNF	12	2,1167	1.2500	31,7500	1.1959	1.1598	1 1/4 - 12 UNF
1 1/4	UN 16	16	1,5875	1.2500	31,7500	1.2094	1.1823	1 1/4 - 16 UN 16
1 1/4	UNEF	18	1,4111	1.2500	31,7500	1.2139	1.1899	1 1/4 - 18 UNEF
1 1/4	UN 20	20	1,2700	1.2500	31,7500	1.2175	1.1959	1 1/4 - 20 UN 20
1 1/4	UN 28	28	0,9071	1.2500	31,7500	1.2268	1.2113	1 1/4 - 28 UN 28
1 5/16	UN 8	8	3,1750	1.3125	33,3375	1.2313	1.1772	1 5/16 - 8 UN 8
1 5/16	UN 12	12	2,1167	1.3125	33,3375	1.2584	1.2223	1 5/16 - 12 UN 12
1 5/16	UN 16	16	1,5875	1.3125	33,3375	1.2719	1.2448	1 5/16 - 16 UN 16
1 5/16	UNEF	18	1,4111	1.3125	33,3375	1.2764	1.2524	1 5/16 - 18 UNEF
1 5/16	UN 20	20	1,2700	1.3125	33,3375	1.2800	1.2584	1 5/16 - 20 UN 20
1 5/16	UN 28	28	0,9071	1.3125	33,3375	1.2893	1.2738	1 5/16 - 28 UN 28
1 3/8	UNC	6	4,2333	1.3750	34,9250	1.2667	1.1946	1 3/8 - 6 UNC
1 3/8	UN 8	8	3,1750	1.3750	34,9250	1.2938	1.2397	1 3/8 - 8 UN 8
1 3/8	UNF	12	2,1167	1.3750	34,9250	1.3209	1.2848	1 3/8 - 12 UNF
1 3/8	UN 16	16	1,5875	1.3750	34,9250	1.3344	1.3073	1 3/8 - 16 UN 16
1 3/8	UNEF	18	1,4111	1.3750	34,9250	1.3389	1.3149	1 3/8 - 18 UNEF
1 3/8	UN 20	20	1,2700	1.3750	34,9250	1.3425	1.3209	1 3/8 - 20 UN 20
1 3/8	UN 28	28	0,9071	1.3750	34,9250	1.3518	1.3363	1 3/8 - 28 UN 28
1 7/16	UN 6	6	4,2333	1.4375	36,5125	1.3292	1.2571	1 7/16 - 6 UN 6
